ആർക്ക෠പ്പം	ആർക്ക്+ഒപ്പം
അമ്മ෗ദേവി	അമ്മു+ദേവി
കഷാළമായി	കഷായം+ആയി
കത്തിച്ച෗കളഞ്ഞു	കത്തിച്ചു+കളഞ്ഞു
ഹിമനീෆുറവ	ഹിമ+നീരുറവ
കൈയ෕ട്ട്	കൈയ്+ഇട്ട്
ക്രോധහാണ്	ക്രോധം+ആണ്
ചെര෗പ്പായി	ചെരുപ്പ്+ആയി
വിജ്ഞാനහഹിമ	വിജ്ഞാനം+അഹിമ
പാള෕കളുടെ	പാളി+കളുടെ
ആദ്യ඘ദില്ലി	ആദ്യം+ദില്ലി
ശ്രූശുകന്	ശ്രീ+ശുകന്
കുള෕രംഗം	കുളി+രംഗം
കണാര඾െയും	കണാരൻ+എയും
കഷ്ടහുള്ള	കഷ്ട+മുള്ള
സ෗വി	സു+വി
ജූതിൻ	ജീ+തിൻ
വാദ്ළമേളങ്ങൾ	വാദ്യ+മേളങ്ങൾ
തൊഴിലാള෕ക്ഷേമവും	തൊഴിലാളി+ക്ഷേമവും
വാളුട്	വാള്+ആട്
നിയമനහായ	നിയമനം+ആയ
കള෕യങ്ങ്	കളി+അങ്ങ്
കളിയാക്കുന്඾തിന്	കളിയാക്കുന്ന+തിന്
പട്ടണහെന്ന	പട്ടണം+എന്ന
വിഭജിക്കുණയില്ല	വിഭജിക്കുക+ഇല്ല
നിസ്സീമහായ	നിസ്സീമ+മായ
സഞ്ച෕യിൽ	സഞ്ചി+ഇൽ
സത്යയാണ്	സത്ത+ആണ്
മുള്෉മ്പലത്ത്	മുള്ള്+അമ്പലത്ത്
കൊണ്ടാടുന്඾ത്	കൊണ്ടാടുന്ന+ത്
കുഴ෕യത്	കുഴി+യത്
അമ്പത෕ന്	അമ്പ്+അതിന്
എന෣എന്	എന്+എന്
ലാത്ത෕ക്കടിച്ചു	ലാത്തി+കടിച്ചു
അ෋െരി	അവ+എരി
മുസ്ലി඘നാട്	മുസ്ലിം+നാട്
ചേര෣നോട്ട്	ചേര്+നോട്ട്
കൃഷ്ണ඾ാൽ	കൃഷ്ണൻ+ആൽ
കൊപ്പය്ത്	കൊപ്പ+ത്
ചി෇പ്പും	ചിറ+പും
ടුവേൺ	ടാ+വേൺ
കു෇വില്ല	കുറ+വില്ല
അരിළയില്	അരിയ+ഇല്
ഖෆഭക്ഷണങ്ങൾ	ഖര+ഭക്ഷണങ്ങൾ
തെളിയിക്കുന്඾ത്	തെളിയിക്കുന്ന+ത്
സ്മാෆകത്താൽ	സ്മാരക+താൽ
അശ്ലീലහായ	അശ്ലീലം+ആയ
ഏ෉ക്കുഴി	ഏള+കുഴി
നി෈യില്ലാതെ	നില+ഇല്ലാതെ
കാഴ്ධയില്ലായ്മ	കാഴ്ച+ഇല്ലായ്മ
അവബോധහില്ലാത്ത	അവബോധം+ഇല്ലാത്ത
ഇറച്ച෕ക്കട	ഇറച്ചി+കട
ബുദ്ധ෕പൂർവമായ	ബുദ്ധിപൂർവം+ആയ
ചെയ്ළപ്പട്ട	ചെയ്യ+പട്ട
ഊഹിച്ച෗പതിനേഴാം	ഊഹിച്ചു+പതിനേഴാം
ലോණരാഷ്ട്രങ്ങൾ	ലോക+രാഷ്ട്രങ്ങൾ
സ്വദേശാසിമാനി	സ്വ+ദേശാഭിമാനി
ഭീമฑഗ്രഹങ്ങൾ	ഭീമൻ+ഗ്രഹങ്ങൾ
ക്෍ിച്ച്	ക്ഷ+ഇച്ച്
കരുඹയാണ്	കരുണ+ആണ്
ചെരിപ്പෘർ	ചെരിപ്പ്+ഊർ
ബല෕ക്കാക്കകളെ	ബലിക്കാക്ക+കളെ
കുത്ത෕ക്കൊന്ന	കുത്തി+കൊന്ന
തന്നොപ്പരന്നതും	തന്നെ+പരന്നതും
സൂത്രപ്പണ෕കൾ	സൂത്രപ്പണി+കൾ
ഏഴෘർ	ഏഴ്+ഊർ
അച്ഛനොപ്പറ്റി	അച്ഛനെ+പറ്റി
പറ്റ෕ല്ല	പറ്റ+ഇല്ല
കൃത്രിහായി	കൃത്രിമ+ആയി
ഓര෕മുക്ക്	ഓരി+മുക്ക്
സാധിക്കുණയില്ലെങ്കില്	സാധിക്കുക+ഇല്ലെങ്കില്
ഭഗവത෕ക്കാവ്	ഭഗവതി+കാവ്
പ്രണയ෕ക്കണം	പ്രണയി+കണം
പത്ന෕യായി	പത്നി+യായി
മാജിക്ക෕ന്	മാജിക്ക്+ഇന്
ജാത෕യില്ലാ	ജാതി+ഇല്ലാ
മുഖരിයം	മുഖര+ഇതം
ലഹ෉യാക്കുന്നു	ലഹള+ആക്കുന്നു
ശേഖෆിക്കുന്ന	ശേഖ്+അരിക്കുന്ന
നീ෈ിച്ച	നീല+ഇച്ച
ഒന്ന෕ൻറെ	ഒന്ന്+ഇൻറെ
കൊട്ടാര඘പറമ്പ്	കൊട്ടാരം+പറമ്പ്
ഗൃഹහാണ്	ഗൃഹം+ആണ്
ഗහുവ	ഗം+ഉവ
സ്വയහുണ്ടാക്കുന്നു	സ്വയം+ഉണ്ടാക്കുന്നു
അക്രമ෕കള	അക്രമി+കള
ലൈബ്രറ෕കളുടെ	ലൈബ്രറി+കളുടെ
ചെയ෕ന്റെ	ചെയ്+ഇന്റെ
സംവിധാന඘ഏകദേശം	സംവിധാനം+ഏകദേശം
പെട്ട෠ന്ന്	പെട്ട്+ഒന്ന്
മാസിණകളുടെ	മാസിക+കളുടെ
പരിസ്ഥിത෕പ്രവർത്തകൻ	പരിസ്ഥിതി+പ്രവർത്തകൻ
അത඾്റെ	അത+അന്റെ
ആയത്ത෕ന്റെ	ആയ+അത്തിന്റെ
പശ෗സ്നേഹം	പശു+സ്നേഹം
അന෣വാര്	അന്+വാര്
നഷ്ട඘സംഭവം	നഷ്ടം+സംഭവം
രാജധാന෕ക്കടുത്ത്	രാജധാനി+കടുത്ത്
കടณപ്പരുന്തും	കടൽ+പരുന്തും
വിധേළയാല്	വിധേയ+ആല്
ബ෕ഇന്ദു	ബി+ഇന്ദു
ആദ്ළഫോട്ടോ	ആദ്യ+ഫോട്ടോ
വിശപ്പඵക്കും	വിശപ്പ്+അടക്കും
ഇന്നേവരොയുള്ള	ഇന്നേവരെ+ഉള്ള
കടമുറ෕കളുടെ	കടമുറി+കളുടെ
ചെ෈വേറും	ചെലവ്+ഏറും
ഒന്ന෣മലപ്പുറം	ഒന്ന്+മലപ്പുറം
നാരහ്പാടി	നാര്+അമ്പാടി
കള෕സാധനം	കളി+സാധനം
സംസ്ഥാനහാകെ	സംസ്ഥാനം+ആകെ
തിരുമുൽപ്പാട෕ന്റെ	തിരുമുൽപ്പാട്+ഇന്റെ
കാණയാണ്	കാക+ആണ്
ദീക്෍ിത്	ദീക്ഷ+ഇത്
അതിര෇്റ	അതിർ+അറ്റ
സ്෋ന്ത	സ്വ+അന്ത
ബലിയാടුകുക	ബലിയാട്+ആകുക
വേദ඾കൊണ്ട്	വേദന+കൊണ്ട്
ചരിത്ര඘ഒരു	ചരിത്രം+ഒരു
തൊട്ട෗ണർത്തി	തൊട്ട+ഉണർത്തി
പൂർവ്വപ്രത്യയහാണ്	പൂർവ്വപ്രത്യയം+ആണ്
പരിഭ്രമහുണ്ട്	പരിഭ്രമം+ഉണ്ട്
പാലුട്ടി	പാൽ+ആട്ടി
ആദ്ළപ്രതികരണം	ആദ്യ+പ്രതികരണം
സഖാവ෕ന്	സഖാവ്+ഇന്
സ඘കൃത	സം+കൃത
വെള്෉ക്കട	വെള്ള+കട
കവാടහാണ്	കവാടം+ആണ്
ഭിത്ത෕കൾ	ഭിത്തി+കൾ
പു඾ചംക്രമണം	പുന+ചംക്രമണം
പദ്ധത෕മാറ്റി	പദ്ധതി+മാറ്റി
എല്ലොന്ന്	എല്ല്+എന്ന്
ക്෋ച്ചുവ	ക്വ+ചുവ
ചെമ്പ෗ളി	ചെമ്പ്+ഉളി
വ്യവസാළതാത്പര്യങ്ങൾ	വ്യവസായ+താത്പര്യങ്ങൾ
തന്നොപ്രപഞ്ചം	തന്നെ+പ്രപഞ്ചം
പേട෕പ്പിച്ചും	പേടി+പിച്ചും
ഒෆർത്ഥവും	ഒർ+അർത്ഥവും
ഇളക്കහറ്റ	ഇളക്കം+അറ്റ
കണ്ണപ്പെരുവണ്ണුന്റെ	കണ്ണ+പെരുവണ്ണാന്റെ
മുഖ്ළകാര്യാലയവും	മുഖ്യ+കാര്യാലയവും
സഖ്യහുണ്ടാക്കുക	സഖ്യം+ഉണ്ടാക്കുക
പോരാട്ട඘കൊണ്ട്	പോരാട്ടം+കൊണ്ട്
അര෕യന	അരിയ+അന
സാദුചാര	സാദാ+ചാര
സർക്കാฒതന്നെ	സർക്കാർ+തന്നെ
അടിക്കാടുക෉ിൽ	അടിക്കാടുകൾ+ഇൽ
കൂച്ചുവിലങ്ങ෕ൽ	കൂച്ചു+വിലങ്ങിൽ
അഭിരുച෕യുണ്ടായിരുന്നു	അഭിരുചി+ഉണ്ടായിരുന്നു
ബാല෕ക്കാട്	ബാലി+കാട്
കുഞ്ഞ෕പ്പശു	കുഞ്ഞി+പശു
കൊහില്ല	കൊമ+ഇല്ല
കലാശിച്ച෗രണ്ടാം	കലാശിച്ചു+രണ്ടാം
ഒഴ෕ച്ചാൽ	ഒഴിച്ച്+ആൽ
ഭീകෆില്	ഭീകര+ഇല്
ചിന്ന෕ച്ചിതറുന്ന	ചിന്നി+ചിതറുന്ന
വෝവിൽ	വേവ്+ഇൽ
രണ്ടാ඘ഘട്ട	രണ്ടാം+ഘട്ട
കുഞ്ഞ෕രാമനെ	കുഞ്ഞി+രാമനെ
ആഘോഷങ്ങ෉െയും	ആഘോഷങ്ങൾ+എയും
ലായകහായി	ലായക+മായി
പൂക്ණൾ	പൂക്ക+അൾ
പരിപാട෕കളെ	പരിപാടി+കളെ
ലെറ്റฒഡോക്ടർ	ലെറ്റർ+ഡോക്ടർ
ന෗കൂസ്	നു+കൂസ്
അദിത෕യുടെ	അദിതി+ഉടെ
ഏകാഗ്ෆതാ	ഏകാഗ്ര+താ
മൈസൂฒഏറാടി	മൈസൂർ+ഏറാടി
കണ്ണിലുണ്ണ෕യായി	കണ്ണിലുണ്ണി+യായി
തണ്ട෣കടുക്	തണ്ട്+കടുക്
ചുണ്ടെല෕യായി	ചുണ്ടെലി+യായി
കനณപാത	കനൽ+പാത
ദൂෆവും	ദൂ+രവും
വ෕ചായ്	വിച+ആയ്
അമിത෕ന്റെ	അമിത+ഇന്റെ
കാෆന്തർ	കാര+അന്തർ
ജാലിණയുടെ	ജാലിക+ഉടെ
ഉല෣ഭവിക്കുന്ന	ഉല്+ഭവിക്കുന്ന
ശോചനീළമായി	ശോചനീയ+മായി
തൊട෗ത്തു	തൊടു+തു
ബലෝനില്	ബലേ+നില്
നന്හകളുടെ	നന്+മകളുടെ
തുട്ട෕ന്റെ	തുട്ട്+ഇന്റെ
പരിപാലിച്ച෗വരുന്നു	പരിപാലിച്ചു+വരുന്നു
കാ඾ക്കരീരം	കാന+കരീരം
മുട෕യേറ്റി	മുടി+ഏറ്റി
പദ്ധത෕യാണ്	പദ്ധതി+ആണ്
പോ෈ൂർ	പോൽ+ഊർ
പറയുന്ന෗പാലക്കാട്	പറയുന്നു+പാലക്കാട്
ഒര෗ഭാവം	ഒരു+ഭാവം
സഹായහാകുക	സഹായം+ആകുക
രേചകහതില്	രേചക+മതില്
സര෎ന്റെ	സരസ+അന്റെ
ആശ്വാസහുണ്ട്	ആശ്വാസം+ഉണ്ട്
യാයൊന്നും	യാത+ഒന്നും
ഇട඾ീർ	ഇട+നീർ
വෝതാളവും	വേ+താളവും
ആറിന෗ണ്ടായ	ആറിന്+ഉണ്ടായ
മണ෕ക്കൂറും	മണി+കൂറും
പ്രത෕സാധ്വി	പ്രതി+സാധ്വി
ദിവ്യහാനവ	ദിവ്യ+മാനവ
പ്രത്ළാരോപണവും	പ്രത്യ+ആരോപണവും
ഉമ്പුയി	ഉമ്പ+ആയി
ശ്രූമംഗലത്ത്	ശ്രീ+മംഗലത്ത്
അതിഘോരහായ	അതിഘോര+മായ
സഹിഷ്ണുයയുടെ	സഹിഷ്ണുത+ഉടെ
യു෋ചിത്രകാരനെ	യുവ+ചിത്രകാരനെ
മ෗ചിരി	മു+ചിരി
വ෕നായകന്റെ	വി+നായകന്റെ
അറ്റത്ത෕ന്റെ	അറ്റ+തിന്റെ
പടകുടീෆമാവുന്ന	പടകുടീരം+ആവുന്ന
കാലിณനിന്ന്	കാലിൽ+നിന്ന്
പറക്കณഒരു	പറക്കൽ+ഒരു
മുല്෈പ്പിള്ളി	മുല്ല+പിള്ളി
വെണ്ണക്കല്ലුണ്	വെണ്ണക്കല്ല്+ആണ്
അമർത്തുന്඾ത്	അമർത്തുന്ന+ത്
പോലുහരുത്	പോലും+അരുത്
കീബോർഡുණൾ	കീ+ബോർഡുകൾ
ബാ෈മന്ത്രണം	ബാല+മന്ത്രണം
കാക്ණത്താറാവ്	കാക്ക+താറാവ്
വക്ෆപാദം	വക്ര+പാദം
ഹര෕കൃഷ്ണനെ	ഹരി+കൃഷ്ണനെ
ഏණപ്രതി	ഏക+പ്രതി
അദ്ധ്യായങ്ങ෉ുള്ള	അദ്ധ്യായങ്ങൾ+ഉള്ള
സത്ළനാദം	സത്യ+നാദം
ശൃംഖ෈യില്	ശൃംഖല+ഇല്
ജ෕ദാ	ജി+ദാ
പറ്റ෕ല്ലെങ്കില്	പറ്റ്+ഇല്ലെങ്കില്
വഷ෉ാവുന്നു	വഷൾ+ആവുന്നു
ചുവര෗ം	ചുവ+അരും
വള്෉സദ്യ	വള്ള+സദ്യ
വ෕മുഖത	വിമുഖ+അത
ഇതിനിടොയിതാ	ഇതിനിടെ+ഇതാ
കിസ്മത്ത෕ന്റെ	കിസ്മത്ത്+ഇന്റെ
ഗോ෉െന്ന്	ഗോള+എന്ന്
തിരികොക്കൊടുത്ത്	തിരികെ+കൊടുത്ത്
യോജ඾ഒരു	യോജന+ഒരു
കൊച്ച෕നികുതി	കൊച്ചി+നികുതി
ശര෕യാക്കുക	ശരി+ആക്കുക
ദക്ഷിඹദ്ദേശം	ദക്ഷിണ+ദേശം
വിരമിക്കുණയാണെ	വിരമിക്കുക+ആണെ
രാවകല്	രാ+പകല്
ഉപദ്രവ෕ച്ചാലും	ഉപദ്രവി+ചാലും
പാ෇മണല്	പാറ+മണല്
പഴുത෕ല്ലാതെ	പഴുത+ഇല്ലാതെ
നാടණവേദി	നാടക+വേദി
വര෗വാൻ	വരു+വാൻ
ആറ്റിങ്ങല෕ൽ	ആറ്റിങ്ങൽ+ഇൽ
ശ്രീകണ്ഠฑക്ഷേത്രം	ശ്രീകണ്ഠൻ+ക്ഷേത്രം
യഥാർഥහായും	യഥാർഥ+മായും
കോട്ട඘തട്ടുന്ന	കോട്ടം+തട്ടുന്ന
അෆക്കണ്ടം	അര+കണ്ടം
ആലത്ത෕ന്റെ	ആൽ+അത്തിന്റെ
കള෕യാടുന്ന	കളി+ആടുന്ന
മമයയാണ്	മമത+ആണ്
വേയ෗ടെ	വേയ്+ഉടെ
സുന്ദര඾ായ	സുന്ദരൻ+ആയ
സൈന്യാധിപ඾ായ	സൈന്യാധിപൻ+ആയ
ചർക്ණകളും	ചർക്ക+കളും
ഇറിഗേഷ඾്ഗ്രാമസഭ	ഇറിഗേഷന്+ഗ്രാമസഭ
അദ്ധ്യായങ്ങ෉ായി	അദ്ധ്യായങ്ങൾ+ആയി
ആഹ്വാനങ്ങ෉ുടെ	ആഹ്വാനങ്ങൾ+ഉടെ
ചരහഗീതം	ചരമ+ഗീതം
ദീപණാഴ്ച്ച	ദീപക+ആഴ്ച്ച
ആയിട്ട෗ള്ളൂ	ആയിട്ട്+ഉള്ളൂ
ദേവദാസ෕യുടെ	ദേവദാസി+ഉടെ
ഇട෋ിൽ	ഇട+വിൽ
ഉണ്ടായിരുന്ന෗ഇന്നലെ	ഉണ്ടായിരുന്നു+ഇന്നലെ
കാല෣കഴുകല്	കാല്+കഴുകല്
ഏര෣പ്പെടല്	ഏര്+പെടല്
പ്രചോദക඾ും	പ്രചോദകൻ+ഉം
രണ്ട෣ഏക്കർ	രണ്ട്+ഏക്കർ
അയ෕ത്തമോ	അയി+തമോ
നാമහായ	നാമം+ആയ
കാര෕യിൽ	കാരി+ഇൽ
പ്രിළദത്ത	പ്രിയ+ദത്ത
എതിർകക്ഷ෕യിൽ	എതിർകക്ഷി+ഇൽ
ആ඾ക്കൊരണ്ടി	ആന+കൊരണ്ടി
അവശിഷ്ടങ്ങดക്കു	അവശിഷ്ടങ്ങൾ+കു
എട്ടുനോമ്പ෕ന്	എട്ടുനോമ്പ്+ഇന്
അനാചാരവുහായി	അനാചാരവും+ആയി
അംෂെൽ	അംബ+എൽ
മാത്ෆണം	മാത്+രണം
ടീහംഗവും	ടീം+അംഗവും
പിള്෉മീനാക്ഷി	പിള്ള+മീനാക്ഷി
എപ്രകാരහാണ്	എപ്രകാരം+ആണ്
ഭാരതහെങ്ങും	ഭാരതം+എങ്ങും
പ്രധാ඾ാണ്	പ്രധാന+ആണ്
വൈദ്യുයബസുകൾ	വൈദ്യുത+ബസുകൾ
കാෆയേത്	കാര+ഏത്
പുകവല෕ക്കാരുടെ	പുകവലി+കാരുടെ
കലහറുത്ത	കലമറ+ഉത്ത
അണ്ണാസฒവകലാശാല	അണ്ണാ+സർവകലാശാല
ജෆാന	ജര+ആന
നേരിടുණകഴിഞ്ഞ	നേരിടുക+കഴിഞ്ഞ
ചിത്ෆപ്രകാരം	ചിത്ര+പ്രകാരം
സൂക്ഷിക്കുණയും	സൂക്ഷിക്കുക+ഉം
കോട്ඵയായി	കോട്ട+ആയി
ചികയുණയെന്നത്	ചികയുക+എന്നത്
സ඾ജൻ	സന+അജൻ
അസහിൽ	അസമ+ഇൽ
അടിത്ത෇യൊരുങ്ങുന്നു	അടിത്തറ+ഒരുങ്ങുന്നു
ചോരക്കඵൽ	ചോര+കടൽ
ക്෋േട്ട	ക്വ+ഏട്ട
ഗ്രാമ඘പഞ്ചാബ്	ഗ്രാമം+പഞ്ചാബ്
തൊഴ෗ക്കാട്	തൊഴു+കാട്
മുട෕യൊതുക്കി	മുടി+ഒതുക്കി
ദാതാവ෕ല്	ദാതാവ്+ഇല്
ആළിശ	ആയ്+ഇശ
ശരീരහൊന്നാകെ	ശരീരം+ഒന്നാകെ
അച്ഛന෣കുട്ടി	അച്ഛന്+കുട്ടി
ഗോ෉ിന്	ഗോള+ഇന്
കിട്ട෕മഴ	കിട്ടി+മഴ
യോഗ඘തിരുവനന്തപുരം	യോഗം+തിരുവനന്തപുരം
രാത്ര෕കഴിച്ചു	രാത്രിക+അഴിച്ചു
ഇഷ്ടപ്പെടുന്඾തു	ഇഷ്ടപ്പെടുന്ന+തു
പാർക്കුയ	പാർക്ക്+ആയ
ആൽතയായ	ആൽഗ+ആയ
കുമിഞ്ഞ෗കൂടുന്ന	കുമിഞ്ഞു+കൂടുന്ന
തല്ല෕യവന്	തല്ലി+അവന്
മാനേജฒമാനേജർ	മാനേജർ+മാനേജർ
മുന്നി෈െത്തുന്ന	മുന്നിൽ+എത്തുന്ന
കോടത෕വളപ്പിൽ	കോടതി+വളപ്പിൽ
തുടരുന്඾തിന്റെ	തുടരുന്ന+തിന്റെ
കෆക്കണ്ടൽ	കര+കണ്ടൽ
ബസ෕ല്ല	ബസ്+ഇല്ല
കോലത෣തുനാട്ടു	കോലത്തുനാട്+ടു
ഇളനീෆിന്	ഇള+നീരിന്
സ്ഥ෈കാലം	സ്ഥലകാല+അം
ധന്വന്തര෕യായി	ധന്വന്തരി+യായി
ആവുහെന്നും	ആവും+എന്നും
ന෗താന്	നുത+ആന്
മാതහൂല	മാത+മൂല
ഊർ඲സംരക്ഷണം	ഊർജ+സംരക്ഷണം
കേട෠ന്നും	കേട+ഒന്നും
ഉരു෉ാന്	ഉരുൾ+ആന്
വിයച്ചാൽ	വിത+അച്ചാൽ
ആള෕ക്കത്തിക്കുന്ന	ആളി+കത്തിക്കുന്ന
കണ്ඹപുരം	കണ്ണ+പുരം
രാത്രിയുහാണ്	രാത്രിയും+ആണ്
വിപരീයബലം	വിപരീത+ബലം
ബെ෈ൊറ	ബെൽ+ഒറ
കരട෈്ല	കരട+അല്ല
സേ඾യ	സേന+അയ
ഗൂഢാലോച඾യെന്നും	ഗൂഢാലോചന+എന്നും
വെണ്ඹയുടെ	വെണ്ണ+ഉടെ
തേവ඾െയും	തേവ+നെയും
നവാബ෕നെ	നവാബ്+ഇനെ
മෘലൻ	മൂല+അൻ
ആടുമാടുക෉ുടെ	ആടുമാടുകൾ+ഉടെ
വേ෈ക്കളം	വേല+കളം
ദാര෕പള്ളി	ദാരി+പള്ളി
പറഞ്ഞ෗വിടുന്നു	പറഞ്ഞു+വിടുന്നു
കത്ത෗ണ്ട്	കത്ത്+ഉണ്ട്
ശാരീരിණമായും	ശാരീരിക+മായും
തിෆയിളക്കുന്നു	തിര+ഇളക്കുന്നു
നക്ഷത്രහനുസരിച്ച്	നക്ഷത്രം+അനുസരിച്ച്
കുഞ്ഞ෕കൃഷ്ണ	കുഞ്ഞി+കൃഷ്ണ
അദ്വൈයവേദാന്തം	അദ്വൈത+വേദാന്തം
ലക്ഷ്മണฑകേരളത്തിലെ	ലക്ഷ്മണൻ+കേരളത്തിലെ
വ്യവസ്ഥിത෕കളെ	വ്യവസ്ഥിതി+കളെ
ആดപോർട്ട്	ആൾ+പോർട്ട്
കാര്യശേഷ෕യുള്ള	കാര്യശേഷി+ഉള്ള
തപസ്സුയും	തപസ്സ്+ആയും
കോഴ෕ക്കോടൻ	കോഴിക്കോട്+അൻ
ശിവහണി	ശിവ+മണി
ഉട඾െത്തുന്ന	ഉടന്+എത്തുന്ന
ഘ඾മാനവും	ഘന+മാനവും
ഭാരයസൈന്യം	ഭാരത+സൈന്യം
സൈനിණരഹസ്യങ്ങൾ	സൈനിക+രഹസ്യങ്ങൾ
ചിത്രക෈യിൽ	ചിത്രകല+അയിൽ
ആൺകുട്ട෕കൾ	ആൺകുട്ടി+കൾ
തുടങ്ങ෕പന്ത്രണ്ടാം	തുടങ്ങി+പന്ത്രണ്ടാം
ഊരാണ෣മയോഗം	ഊരാണ്മ+യോഗം
നാඵകാചാര്യന്	നാടക+ആചാര്യന്
അന്തിമഹാകാളฑകാവിൽ	അന്തിമഹാകാളൻ+കാവിൽ
ക്ഷതහുണ്ടാക്കുന്നു	ക്ഷതം+ഉണ്ടാക്കുന്നു
ഇന്ന෕യുടെ	ഇന്നി+ഉടെ
പ്രാധാന്യහെന്ന്	പ്രാധാന്യം+എന്ന്
മുട෕ത്താനം	മുടി+താനം
ഗന്ලത്തിന്റെ	ഗന്ധ+അത്തിന്റെ
കാട෗ള്ള	കാട്+ഉള്ള
കാരണ඘തങ്ങളുടെ	കാരണം+തങ്ങളുടെ
ചුനോട്ട്	ചാ+നോട്ട്
കാണിക്ණയാണ്	കാണിക്ക+ആണ്
ഇവෆൊഴികെ	ഇവർ+ഒഴികെ
രജക඾ും	രജകൻ+ഉം
അന്යസ്സിനെ	അന്തസ്സ്+ഇനെ
പ്ෆഭുരാമന്റെ	പ്രഭു+രാമന്റെ
നിരീക്ഷക඾ായി	നിരീക്ഷകൻ+ആയി
ശതහാനും	ശതം+ആനും
അത෗ടന്	അതു+ടന്
കണ്ണാട෕യാവുക	കണ്ണാടി+ആവുക
എച്ച෣ശങ്കരൻ	എച്ച്+ശങ്കരൻ
മാരฑഅക്കരെ	മാരൻ+അക്കരെ
ക്ഷണിച്ച෗വരുത്തുന്നു	ക്ഷണിച്ചു+വരുത്തുന്നു
മരോട്ട෕ച്ചാൽ	മരോട്ടി+ചാൽ
ഇඵയാവും	ഇട+യാവും
കൊച്ച඾ിയനെ	കൊച്ച്+അനിയനെ
രാහദേവൻ	രാമ+ദേവൻ
ഉള്ളයിന്റെ	ഉള്ളത്+ഇന്റെ
വലയ്ക്കുණയും	വലയ്ക്കുക+ഉം
പരത്ത෕യാണ്	പരത്തി+ആണ്
സ്ത്രീകดമറ്റു	സ്ത്രീകൾ+മറ്റു
തകരാറුയ	തകരാറ്+ആയ
ചലച്ചിത്ര඘അഷ്ടമിരോഹിണി	ചലച്ചിത്രം+അഷ്ടമിരോഹിണി
തേർവാഴ്ධയിൽ	തേർവാഴ്ച+അയിൽ
തൃതീළപാദം	തൃതീയ+പാദം
സ്കൂളി෈ുണ്ടായിരുന്നു	സ്കൂളിൽ+ഉണ്ടായിരുന്നു
പക്ഷ෕ശ്രീ	പക്ഷി+ശ്രീ
വූഗോ	വീ+ഗോ
പിളෆാത്ത	പിളർ+ആത്ത
മൂശാര෕പ്പറമ്പിൽ	മൂശാരി+പറമ്പിൽ
ദീപ്යിക്കും	ദീപ്ത+ഇക്കും
എനിക്ക෗ള്ള	എനിക്ക്+ഉള്ള
ആശ്ര෕തത്വങ്ങൾ	ആശ്രി+തത്വങ്ങൾ
ഭിന്നിപ്പ෗ണ്ടാക്കി	ഭിന്നിപ്പ്+ഉണ്ടാക്കി
നന്ദ෕യാർ	നന്ദി+ആർ
നിർമ෈ൂർ	നിർമല+ഊർ
ഗെയിහായോ	ഗെയിം+ആയോ
ഗ്രാമപ്പഞ്ചായത്ത෕നെ	ഗ്രാമപ്പഞ്ചായത്ത്+ഇനെ
വർഷහായ	വർഷ+മായ
എന෣ഗീത	എന്+ഗീത
വൈദ്യുത෕യും	വൈദ്യുതി+ഉം
മാന෕പ്പാടത്ത്	മാനി+പാടത്ത്
മോ෉ക്ക	മോൾ+അക്ക
അന്തരവുහില്ല	അന്തരവും+ഇല്ല
അസഹിഷ്ണ෗തക്കും	അസഹിഷ്ണുത+അക്കും
ജനാധിപത്യහെന്ന്	ജനാധിപത്യം+എന്ന്
കാറ෕ന്റെ	കാറ+ഇന്റെ
വീണ്ടു඘വീണ്ടും	വീണ്ടും+വീണ്ടും
യහഃ	യമ+അഃ
ആക്ക෗ം	ആക്ക+ഉം
കാ෉ക്കുണ്ട്	കാള+കുണ്ട്
പ്രധാനහായ	പ്രധാന+മായ
ലോട്ട෇ി	ലോട്ട+അറി
എച്ച෣എക്സിന്റെ	എച്ച്+എക്സിന്റെ
സ෗ജിത്തിന്	സു+ജിത്തിന്
പര്യവേക്ഷണ඘ഒന്നാം	പര്യവേക്ഷണം+ഒന്നാം
പാണ്ട඾ാട്ടെ	പാണ്ടൻ+ആട്ടെ
അപ്වപ്പാറ	അപ്പ+പാറ
അത്താഴപ്പട്ടിണ෕ക്കാരും	അത്താഴപ്പട്ടിണി+കാരും
തത്ത്വചിന്തക඾ായി	തത്ത്വചിന്തകൻ+ആയി
പന്ന෕യോട്ട്	പന്നി+ഓട്ട്
ഡെൽഹ෕യാണു	ഡെൽഹി+ആണു
സംഭവ඘ആദ്യം	സംഭവം+ആദ്യം
ഗാംഭീര്ළമായ	ഗാംഭീര്യം+ആയ
കോ඾ൂർ	കോൻ+ഊർ
കാരണ඘കൊണ്ട്	കാരണം+കൊണ്ട്
വൈദ്യശാ෈പ്പടി	വൈദ്യശാല+അപ്പടി
ഉപ്പ෕ല്ലെങ്കില്	ഉപ്പ്+ഇല്ലെങ്കില്
അനുമോദനവുහായി	അനുമോദനവും+ആയി
ശ്രූഭദ്രകാളീ	ശ്രീ+ഭദ്രകാളീ
ജ෕ചന്ദ്രശേഖരന്	ജി+ചന്ദ്രശേഖരന്
കോത෣കു	കോത്+കു
നුമാണ്	നാം+ആണ്
ഇത෗മനസ്സിലാക്കി	ഇതു+മനസ്സിലാക്കി
പു෇ക്കടവ്	പുറക്+കടവ്
ലിඬില്	ലിഖ+ഇല്
